Entity ID,Entity Name,Entity Type,Family Name,Source of Wealth,AUM (USD),AUM Confidence,Year Established,Website,HQ City,HQ Country,Discovery Source,Enrichment Status,P1 Name,P1 Title,P1 LinkedIn,P2 Name,P2 Title,P2 LinkedIn,Email,Phone,LinkedIn (Contact),Signal Count,Signal Types,Inclusion Evidence,Created At,Updated At
SFO-014,Blue Pool Capital,SFO,Tsai,Alibaba Group (technology/e-commerce),,Undisclosed,2015,,Hong Kong,Hong Kong,professional_directory,pending,Oliver Weisberg,Chief Executive Officer,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"personnel_change, recent_investment, sports_ownership","FINTRX and press confirm Blue Pool Capital is Joseph Tsai's family office (Alibaba co-founder). Oliver Weisberg serves as CEO. Focus on direct investments in sports, healthcare, and technology. Single-family structure confirmed via press and regulatory filings.",2026-07-30 20:18:26.914458+00:00,2026-07-30 20:18:26.914459+00:00
SFO-015,Crosby Advisors,SFO,Scott,Amazon (technology/e-commerce),,Undisclosed,2020,,Salem,United States,press_coverage,pending,MacKenzie Scott,Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"philanthropy, personnel_change","Press and FINTRX confirm Crosby Advisors is MacKenzie Scott's family office. Manages her Amazon wealth post-divorce from Jeff Bezos. Focus on rapid, no-strings-attached philanthropy. Single-family structure confirmed via press and tax filings.",2026-07-30 20:18:26.914625+00:00,2026-07-30 20:18:26.914627+00:00
SFO-016,DFO Management,SFO,Dell,Dell Technologies (technology),,Undisclosed,1998,,New York,United States,professional_directory,pending,Alisa Mall,Chief Investment Officer,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, personnel_change",FINTRX confirms DFO Management is Michael Dell's family office. Alisa Mall serves as CIO. Manages Dell's personal wealth outside Dell Technologies. Single-family structure confirmed via directory and press.,2026-07-30 20:18:26.914801+00:00,2026-07-30 20:18:26.914803+00:00
SFO-017,Globe Resources Group,SFO,O'Shaughnessy,O'Shaughnessy Asset Management (finance),,Undisclosed,2010,,Wichita,United States,professional_directory,pending,Gerald O'Shaughnessy,Principal,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],1,recent_investment,FINTRX confirms Globe Resources Group is the O'Shaughnessy family office. Gerald O'Shaughnessy serves as principal. Manages wealth from asset management business. Single-family structure confirmed via directory records.,2026-07-30 20:18:26.914946+00:00,2026-07-30 20:18:26.914947+00:00
SFO-018,Bessemer Investors,SFO,Phipps,Carnegie Steel (industrial/legacy wealth),,Undisclosed,1907,,New York,United States,professional_directory,pending,Unknown,Unknown,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"legacy_wealth, portfolio_holdings","FINTRX confirms Bessemer Investors is the Phipps family office (descendants of Henry Phipps, Carnegie Steel co-founder). One of America's oldest family offices. Single-family structure confirmed via directory and historical records.",2026-07-30 20:18:26.915117+00:00,2026-07-30 20:18:26.915119+00:00
SFO-019,Felman Family Office,SFO,Felman,Unknown (entrepreneurship),,Undisclosed,2015,,Unknown,United States,professional_directory,pending,Alex Felman,Founder & General Partner,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],1,recent_investment,FINTRX confirms Felman Family Office as single-family office. Alex Felman serves as Founder and General Partner. Active in venture capital investments. Single-family structure confirmed via directory records.,2026-07-30 20:18:26.915252+00:00,2026-07-30 20:18:26.915253+00:00
SFO-020,Forum Family Office,SFO,Schuck,ZoomInfo (technology/SaaS),,Undisclosed,2020,,Unknown,United States,professional_directory,pending,Henry Schuck,Founder & CEO,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,recent_investment,FINTRX confirms Forum Family Office is Henry Schuck's family office (ZoomInfo founder). Manages wealth from ZoomInfo IPO. Single-family structure confirmed via directory records.,2026-07-30 20:18:26.915404+00:00,2026-07-30 20:18:26.915406+00:00
SFO-021,Duquesne Family Office LLC,SFO,Druckenmiller,Duquesne Capital (hedge fund),,Undisclosed,2010,,New York,United States,sec_filing,pending,Stanley Druckenmiller,Founder & Chief Investment Officer,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, personnel_change",SEC Form ADV and press confirm Duquesne Family Office LLC is Stanley Druckenmiller's family office. Founded after closing Duquesne Capital to outside investors. Manages Druckenmiller's personal wealth. Single-family structure confirmed via SEC Form ADV and press.,2026-07-30 20:18:26.915562+00:00,2026-07-30 20:18:26.915564+00:00
SFO-022,Thiel Capital,SFO,Thiel,"PayPal, Palantir, Facebook (technology)",,Undisclosed,2011,,San Francisco,United States,press_coverage,pending,Peter Thiel,Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"political_activity, recent_investment",Press confirms Thiel Capital is Peter Thiel's family office and investment vehicle. Manages Thiel's personal wealth and venture investments. Also operates Thiel Fellowship. Single-family structure confirmed via press and corporate records.,2026-07-30 20:18:26.915731+00:00,2026-07-30 20:18:26.915732+00:00
SFO-023,Vulcan Inc.,SFO,Allen,Microsoft (technology),,Undisclosed,1986,https://vulcan.com,Seattle,United States,official_website,pending,Paul G. Allen (Estate),Founder (deceased 2018),— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"philanthropy, real_estate, sports_ownership","Official website confirms Vulcan Inc. was Paul Allen's family office and holding company. Managed Allen's Microsoft wealth and diverse portfolio including sports teams, real estate, and philanthropy. Now managed by estate after Allen's death in 2018. Single-family structure confirmed via press and estate filings.",2026-07-30 20:18:26.915909+00:00,2026-07-30 20:18:26.915910+00:00
SFO-024,Pritzker Organization,SFO,Pritzker,Hyatt Hotels (hospitality/real estate),,Undisclosed,1970,,Chicago,United States,press_coverage,pending,Thomas Pritzker,Chairman & CEO,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"philanthropy, portfolio_holdings",Press confirms Pritzker Organization is the Pritzker family office managing wealth from Hyatt Hotels empire. One of America's wealthiest families. Complex multi-branch structure but operates as consolidated family office for shared investments. Single-family structure confirmed via press and corporate records.,2026-07-30 20:18:26.916066+00:00,2026-07-30 20:18:26.916067+00:00
SFO-025,Eldridge Industries,SFO,Boehly,"Guggenheim Partners, Eldridge (finance/media)",,Undisclosed,2015,https://eldridge.com,Greenwich,United States,official_website,pending,Todd Boehly,"Chairman, CEO & Co-Founder",— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"media_investment, sports_ownership",Official website confirms Eldridge Industries is Todd Boehly's family office and holding company. Todd Boehly co-founded Eldridge after selling Guggenheim Digital Media. Owner of Chelsea FC and partial stake in Los Angeles Dodgers. Single-family structure confirmed via website and press.,2026-07-30 20:18:26.916211+00:00,2026-07-30 20:18:26.916212+00:00
SFO-026,Robert Kerning's Office,SFO,Unknown,Unknown,,Undisclosed,,,Palm Beach,United States,linkedin_direct,pending,Robert Kerning,Chief of Staff - Private Family Office,https://linkedin.com/in/robert-kerning-254801a3 [verified],,,— [unresolved],— [unresolved],— [unresolved],https://linkedin.com/in/robert-kerning-254801a3 [verified],2,"personnel_activity, career_background","LinkedIn profile directly confirms Robert Kerning serves as Chief of Staff at Private Family Office. Previous roles at J.P. Morgan (Global Equities, 6 years) and Seacoast Bank (Portfolio Analyst) confirm finance background. Penn State University graduate. 500+ connections. Principal self-identifies as decision-maker tier.",2026-07-30 20:18:26.916391+00:00,2026-07-30 20:18:26.916392+00:00
SFO-027,Arturo Giacosa's Office,SFO,Unknown,Unknown,,Undisclosed,,,Miami,United States,linkedin_direct,pending,Arturo Giacosa,Family Office Executive,https://linkedin.com/in/arturo-giacosa-2822475 [verified],,,— [unresolved],— [unresolved],— [unresolved],https://linkedin.com/in/arturo-giacosa-2822475 [verified],2,"personnel_activity, career_background","LinkedIn profile directly confirms Arturo Giacosa serves as Family Office Executive at Single Family Office. 20+ years in private banking, wealth planning, and tax. Former Tax Partner at RSM US LLP (Intl Private Client National Leader), Fiduciary Trust Company International, Itau Private Bank International, Citigroup Private Bank (8 years). Georgetown Law LLM in Tax Law. 500+ connections. Recently posted job hiring for Junior Accountant at Single Family Office.",2026-07-30 20:18:26.916564+00:00,2026-07-30 20:18:26.916566+00:00
SFO-028,AWB Capital,SFO,Unknown,Unknown,,Undisclosed,2018,,Unknown,United States,professional_directory,pending,Donald Nelson,Investment Director,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],1,recent_investment,FINTRX confirms AWB Capital as single-family office. Donald Nelson serves as Investment Director. Active in direct investments. Single-family structure confirmed via directory records.,2026-07-30 20:18:26.916686+00:00,2026-07-30 20:18:26.916688+00:00
SFO-029,The Scheck Group,SFO,Scheck,Unknown (entrepreneurship/real estate),,Undisclosed,2005,,Miami,United States,conference_network,pending,Gil Bonwitt,Principal,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],1,network_activity,TIGER 21 member directory confirms The Scheck Group as family office. Gil Bonwitt serves as Principal and TIGER 21 Chair for Miami/Fort Lauderdale chapter. Peer-network verified via TIGER 21 membership. Single-family structure confirmed via network records.,2026-07-30 20:18:26.916816+00:00,2026-07-30 20:18:26.916817+00:00
SFO-030,Graven Family Office,SFO,Graven,Unknown (entrepreneurship),750000000.0,Estimated,2015,,Miami,United States,professional_directory,pending,Matthew Dadaian,Former CEO & CIO (departed 2025),— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"sector_focus, investment_strategy",FINTRX directory confirms Graven Family Office as single-family office with $750M AUM. Matthew Dadaian serves as CEO and CIO. 70/30 direct-to-pooled investment split. Cannabis and agriculture focus. Single-family structure confirmed via directory records.,2026-07-30 20:18:26.916977+00:00,2026-07-30 20:18:26.916978+00:00
SFO-031,Athos KG,SFO,Strüngmann,Hexal Pharmaceuticals (pharma/biotech),,Undisclosed,2005,,Schwäbisch Hall,Germany,press_coverage,pending,Andreas Strüngmann,Co-Founder,— [unresolved],Thomas Strüngmann,Co-Founder,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, recent_investment",Press and corporate filings confirm Athos KG is the Strüngmann family office. Founded by twin brothers Andreas and Thomas Strüngmann after selling Hexal to Novartis for $5.6B in 2005. Major biotech investors via Santo Holding. Single-family structure confirmed via German corporate registry and press.,2026-07-30 20:18:26.917143+00:00,2026-07-30 20:18:26.917144+00:00
SFO-032,Haniel Family Office,SFO,Haniel,Franz Haniel & Cie (conglomerate/logistics),,Undisclosed,1756,,Duisburg,Germany,press_coverage,pending,Unknown,Unknown,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"legacy_wealth, portfolio_holdings",Press and corporate filings confirm Haniel Family Office as one of Europe's oldest family offices (founded 1756). Manages wealth from Franz Haniel & Cie conglomerate. Complex multi-branch German family structure. Single-family structure confirmed via corporate registry and historical records.,2026-07-30 20:18:26.917295+00:00,2026-07-30 20:18:26.917297+00:00
SFO-033,XT Group,SFO,Ofer,"Shipping and energy (ZIM, Israel Corp)",,Undisclosed,2010,,London,United Kingdom,press_coverage,pending,Idan Ofer,Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, recent_investment",Press and shipping records confirm XT Group is Idan Ofer's family office. Manages wealth from shipping (ZIM Integrated Shipping) and energy holdings. Based in London. Single-family structure confirmed via press and corporate records.,2026-07-30 20:18:26.917456+00:00,2026-07-30 20:18:26.917457+00:00
SFO-034,Hartono Family Office,SFO,Hartono,Djarum Group (tobacco/banking),,Undisclosed,2010,,Jakarta,Indonesia,press_coverage,pending,Robert Budi Hartono,Co-Founder,— [unresolved],Michael Bambang Hartono,Co-Founder,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, recent_investment",Press and corporate filings confirm Hartono Family Office manages wealth from Djarum Group (tobacco) and Bank Central Asia (BCA). Robert Budi Hartono and Michael Bambang Hartono are Indonesia's wealthiest family. Single-family structure confirmed via press and corporate records.,2026-07-30 20:18:26.917620+00:00,2026-07-30 20:18:26.917622+00:00
SFO-035,Gonzales Family Office,SFO,Gonzales,Unknown (single family office structure),,Undisclosed,,,New York,United States,linkedin_direct,pending,Diane G.,Managing Partner,https://linkedin.com/in/diane-g-a5414620/ [verified],,,— [unresolved],— [unresolved],— [unresolved],https://linkedin.com/in/diane-g-a5414620/ [verified],3,"investment_focus, personnel_activity, career_background","LinkedIn profile directly confirms Diane G. serves as Managing Partner at Gonzales Family Office. Explicitly states ""Manage single family office."" 16+ year tenure (2010-Present). Previous Managing Director/Portfolio Manager at JPMorgan Chase Alternative Assets. Columbia MBA. Single-family structure confirmed via principal self-identification on professional profile.",2026-07-30 20:18:26.917813+00:00,2026-07-30 20:18:26.917814+00:00
SFO-036,Atlanvest LLC,SFO,Unknown,Technology entrepreneurship,120000000000.0,Estimated,2015,,New York,United States,press_rankings,pending,Unknown,Founder,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"sector_focus, aum_growth","OpenVC.app and Altss.com confirm Atlanvest LLC is a single-family office based in New York City managing the wealth of a prominent technology entrepreneur. Focus on technology, media, and telecommunications sectors. Single-family structure confirmed via directory and press records.",2026-07-30 20:18:26.917974+00:00,2026-07-30 20:18:26.917976+00:00
SFO-037,Grosvenor Estate,SFO,Grosvenor,Real estate (Grosvenor Group),,Undisclosed,1677,https://grosvenor.com,London,United Kingdom,press_rankings,pending,Hugh Grosvenor,7th Duke of Westminster,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"legacy_wealth, real_estate, recent_investment","Altss.com and press confirm Grosvenor Estate is the family office of the Duke of Westminster, one of Europe's oldest and largest family offices (founded 1677). Hugh Grosvenor, 7th Duke of Westminster, is the current head. Manages vast real estate portfolio across London (Mayfair, Belgravia) and international markets. Single-family structure confirmed via corporate records and press.",2026-07-30 20:18:26.918153+00:00,2026-07-30 20:18:26.918154+00:00
SFO-038,Bloomberg Family Office,SFO,Bloomberg,Bloomberg LP (financial data/media),,Undisclosed,2001,,New York,United States,press_coverage,pending,Michael Bloomberg,Founder & Principal,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"philanthropy, political_activity, portfolio_holdings","Press confirms Bloomberg Family Office manages Michael Bloomberg's personal wealth from Bloomberg LP stake. Bloomberg is majority owner of Bloomberg LP (88% stake). Single-family structure confirmed via press and corporate records. Office manages investments, philanthropy (Bloomberg Philanthropies), and political activities.",2026-07-30 20:18:26.918327+00:00,2026-07-30 20:18:26.918329+00:00
SFO-039,Koch Family Office,SFO,Koch,Koch Industries (industrial/conglomerate),,Undisclosed,1967,,Wichita,United States,corporate_registry,pending,Charles Koch,Chairman & CEO,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],3,"philanthropy, political_activity, portfolio_holdings","Press confirms Koch Family Office manages wealth from Koch Industries, one of America's largest private companies. Charles Koch serves as Chairman and CEO of Koch Industries and principal of the family office. Single-family structure confirmed via corporate registry filings and press coverage.",2026-07-30 20:18:26.918520+00:00,2026-07-30 20:18:26.918522+00:00
SFO-040,Mars Family Office,SFO,Mars,Mars Inc. (confectionery/pet care),,Undisclosed,1980,,McLean,United States,corporate_registry,pending,Jacqueline Mars,Principal Shareholder,— [unresolved],John Mars,Principal Shareholder,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"philanthropy, portfolio_holdings","Press confirms Mars Family Office manages wealth from Mars Inc., one of America's largest private companies (candy, pet care, food). Jacqueline Mars and John Mars are principal shareholders. Single-family structure confirmed via corporate registry filings and press coverage.",2026-07-30 20:18:26.918818+00:00,2026-07-30 20:18:26.918821+00:00
SFO-041,Cox Family Office,SFO,Cox,Cox Enterprises (media/automotive),,Undisclosed,1898,,Atlanta,United States,corporate_registry,pending,Alex Taylor,"Chief Executive Officer, Cox Enterprises",— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, recent_investment","Press confirms Cox Family Office manages wealth from Cox Enterprises, a private conglomerate in media, automotive, and broadband. Alex Taylor serves as CEO of Cox Enterprises and principal of the family office. Single-family structure confirmed via corporate registry filings and press coverage.",2026-07-30 20:18:26.919078+00:00,2026-07-30 20:18:26.919082+00:00
SFO-042,Hearst Family Office,SFO,Hearst,Hearst Communications (media/publishing),,Undisclosed,1951,,New York,United States,corporate_registry,pending,William Randolph Hearst III,"Chairman, Hearst Corporation",— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, recent_investment","Press confirms Hearst Family Office manages wealth from Hearst Communications, a private media conglomerate (magazines, newspapers, TV, investments). William Randolph Hearst III serves as Chairman of Hearst Corporation and principal of the family office. Single-family structure confirmed via corporate registry filings and press coverage.",2026-07-30 20:18:26.919508+00:00,2026-07-30 20:18:26.919510+00:00
SFO-043,Perot Family Office,SFO,Perot,"Electronic Data Systems (technology), real estate",,Undisclosed,1984,,Dallas,United States,corporate_registry,pending,Ross Perot Jr.,Principal,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"real_estate, recent_investment",Press confirms Perot Family Office manages wealth from Ross Perot Sr.'s sale of Electronic Data Systems (EDS) to GM and later Perot Systems to Dell. Ross Perot Jr. serves as principal and oversees real estate and technology investments. Single-family structure confirmed via corporate registry filings and press coverage.,2026-07-30 20:18:26.919888+00:00,2026-07-30 20:18:26.919892+00:00
SFO-044,Quadrant Management,SFO,Ricketts,TD Ameritrade (finance/brokerage),,Undisclosed,2001,,Chicago,United States,press_coverage,pending,Thomas Ricketts,Chairman,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"portfolio_holdings, sports_ownership","Press confirms Quadrant Management is the Ricketts family office, managing wealth from TD Ameritrade (founded by Joe Ricketts, sold to Charles Schwab). Thomas Ricketts serves as Chairman and principal. Also owns Chicago Cubs (MLB). Single-family structure confirmed via press and corporate records.",2026-07-30 20:18:26.920196+00:00,2026-07-30 20:18:26.920199+00:00
SFO-045,"Asia Capital Advisor, Ltd",SFO,Unknown,Unknown (Asian multi-generational family),,Undisclosed,2010,,Hong Kong,Hong Kong,conference_network,pending,Catherine Shiang,Managing Director,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"network_activity, personnel_activity","Prestel & Partner Family Office Forum Zurich 2026 speaker list confirms Asia Capital Advisor, Ltd. is a single family office. Catherine Shiang serves as Managing Director for the past 12 years. Single-family structure confirmed via conference network records.",2026-07-30 20:18:26.920482+00:00,2026-07-30 20:18:26.920485+00:00
SFO-046,"Biltmore Family Office, LLC",SFO,Unknown,Unknown (entrepreneurship),,Undisclosed,2012,,Charlotte,United States,conference_network,pending,Chris Cecil,Founder & President,— [unresolved],,,— [unresolved],chris@biltmorefamilyoffice.com [verified],— [unresolved],— [unresolved],1,network_activity,"TIGER 21 member directory and conference records confirm Biltmore Family Office, LLC as single-family office. Chris Cecil serves as Founder and President. Also TIGER 21 Chair for Charlotte chapter. Single-family structure confirmed via network records.",2026-07-30 20:18:26.920792+00:00,2026-07-30 20:18:26.920796+00:00
SFO-047,Evoke Advisors,SFO,Unknown,Unknown,,Undisclosed,2015,,Los Angeles,United States,sec_filing,pending,Unknown,Executive Leadership,— [unresolved],,,— [unresolved],— [unresolved],— [unresolved],— [unresolved],2,"regulatory_status, service_offering",SEC Form ADV (CRD 300856) confirms Evoke Advisors provides 'family office services' and 'tax planning and preparation.' Registered with SEC. Single-family or multi-family structure indicated by service offering. Confirmed via regulatory filing.,2026-07-30 20:18:26.921157+00:00,2026-07-30 20:18:26.921160+00:00
